1263.1,1294.1,1188.1,1242.6,970.02,1251.4,1274.8,1171.7,1385,1261.5,1114,1287.6,1111.5,1197.5,1257.7,1320.9,1171.2,1016.3,1129,1204.5,1205.4,1282.2,1254.1,1265.4,1299.1,1114.6,1174.4,1265.3,1205.3,1235.9,970.22,915.39,1303.6,1205.1,1155.9,1347.4,1167.9,1201.7,1062.4,1196.2,1220.6,1099.4,1424.8,1214.9,1096.5,1253.9,1214,1084.3,1232.5,1322.7,1262.8,960.07,1132.5,1171,1194.5,1299.9,1236.7,1293.7,1302.5,1056.1,1125.6,1244.9,1163.7,1217.6,854.61,995.43,1269.7,1146.4
1261.1,1274,1329,1348.3,1168.5,1251.8,1252.4,1193.7,1326.3,1327.3,1236.5,1295.5,1193,1206.5,1243.8,1291.1,1282.8,1226,1285,1284.4,1298.8,1278.7,1319,1263,1224.3,1272.5,1266.4,1284.1,1222.8,1246,1295.4,1157.7,1309,1213.1,1301.2,1338.4,1261.5,1383.1,1011.8,1248.2,1265.8,1193.8,1314,1329.1,1211,1304.8,1255,1221.4,1212.8,1339.4,1245.5,1218.6,1234.8,1310.4,1279.4,1308.5,1304.8,1288,1271.6,1224.3,1269.6,1288.4,1251,1246.6,1205.3,994.63,1375.7,1132
1303,1299.4,1189.1,1266.2,1056,1240.6,1248.7,1201.4,1286.1,1299.2,1166.5,1274.2,1194.8,1218.1,1250.2,1299.2,1199.2,1128.8,1192,1239.9,1184.1,1289.1,1238.3,1261.8,1225.2,1184.3,1215.1,1246.5,1230,1227.1,1053.7,927.28,1268.4,1154.4,1255.6,1214.3,1222.7,1269.6,1164.4,1248.3,1254.3,1208.7,1377.2,1285.9,1210.7,1269.5,1198.7,1195.1,1290.9,1242,1189.5,1273.7,1229.6,1225.5,1197.4,1252.8,1241.8,1266.6,1177.2,1204.1,1201.1,1259.7,1209.3,1211.5,1254.8,991.01,1328.1,1141.3
1234.9,1297.5,1063.3,1168.4,982.03,1211.4,1190.9,1091.9,1330.9,1191.4,1124.5,1253.6,1236.9,1067.3,1257.4,1288.3,1141.6,1006.2,1097.3,1206.6,1122.8,1248.2,1137.5,1193.7,1322.2,1148.5,1146.5,1110.4,1076,1125.4,1118.2,826.59,1309.1,1228.1,1244.3,1339.1,1044,1199.3,895.95,1215.2,1190.3,1069.3,1309.8,1192.2,1267.2,1268.8,1259.4,1139.8,1227.1,1255.6,1192.4,1139.9,1185.7,1218.6,1166,1264.5,1159.5,1258.9,1275.3,1075.3,1070.9,1138.3,1184.5,1168.8,1135.9,906.81,1240.7,1162.8
1219.4,1242.4,1291.1,1330.3,1128.2,1268.1,1289.1,1230,1360.7,1300.5,1153.6,1347.5,1195.5,1164,1242.1,1354.1,1235.7,1237.3,1253,1270.7,1300,1324.8,1337.1,1313.8,1369.2,1240.7,1304.1,1337.8,1139.1,1313.8,1214.3,877.28,1233.9,1112.8,1280.9,1191.3,1235.7,1340.5,1091,1238.9,1293.6,1268.3,1390.5,1305.3,1142.8,1354.2,1222.1,1225.3,1279.7,1378.3,1184.8,1223.4,1194,1277,1222.8,1348.5,1267.7,1342.4,1272.8,1259.9,1261.5,1303,1175.9,1249.9,1094.5,1080.5,1209.1,1141.9
1282,1261,1268,1272,1040.8,1208.5,1257.6,1119.6,1359.2,1296.6,1181,1290,1259.8,1200,1208.2,1338.5,1221.3,1208.9,1234.2,1244.5,1202.1,1289.5,1249.1,1266.1,1338.7,1255.1,1261.2,1284.6,1224.8,1235,1363,1003.7,1317.1,1173.9,1299.3,1282.5,1241.2,1285,1079.2,1245.6,1235.9,1228.9,1351.5,1315.9,1216.2,1319.4,1300.8,1250.5,1274.1,1307.9,1216.7,1200.3,1252,1275,1255.7,1248.2,1264.7,1278,1319.6,1229.2,1241.5,1277.6,1259.8,1218.2,1340.5,1043.7,1294.8,1150.5
1272.8,1290.1,1256.7,1267.1,1022.4,1258.3,1254.8,1224.3,1306,1323.2,1282.1,1287.5,1166.2,1197.4,1254.6,1362.5,1253.5,1164.2,1267.3,1226.2,1278.2,1315.5,1292,1273.9,1380.8,1239.1,1278.7,1286.6,1176.5,1213.8,1222.2,1034.3,1280.1,1215.2,1278.9,1300.2,1267.6,1276.2,1133.7,1279.4,1274.5,1212.2,1332.6,1334.6,1211.8,1306,1216.5,1230.4,1331.4,1375.2,1296.2,1151.8,1279.5,1219.1,1280.5,1319.6,1289.9,1263.8,1319.5,1245.9,1278.9,1280.8,1243.9,1249.4,1174.7,1128.2,1375.6,1199.9
1250.7,1258.8,1267.5,1315,1123.8,1245.6,1258.3,1214.3,1290,1326.5,1195.7,1300.9,1183.4,1224.7,1221,1331.1,1246.9,1226.6,1222.4,1279.5,1288.3,1271.1,1317.5,1260.5,1227.1,1194.5,1251.9,1292.1,1222.5,1218.5,1183.3,1086.6,1359.6,1187.2,1238.2,1249.8,1281.1,1318.9,1065.6,1253.3,1243.4,1215.6,1314.1,1302,1168.2,1304.3,1202.9,1240.6,1212.4,1306.3,1232.3,1197.3,1218.9,1266.9,1255.8,1269.6,1310,1273.2,1194.3,1218,1240.8,1276,1227.6,1227.3,1169,1162.5,1300.7,1122.1
1268.4,1280.9,1303.7,1268.9,1092.2,1166.2,1241.8,1157.1,1315.6,1306.1,1234.1,1240.7,1236.5,1185.8,1097.6,1329.6,1262.8,1264.3,1306.7,1234.6,1289.3,1262,1326.7,1251.1,1316.5,1308.2,1289.9,1269.8,1231.3,1246.3,1333,1078.4,1347.3,1208.9,1329,1280.4,1316.5,1324.3,1077.9,1245.1,1262.1,1230.6,1351.9,1305.8,1224.4,1272.6,1238.4,1230.6,1203.3,1323.3,1246.9,1197.1,1277,1248.9,1310.9,1282.5,1304.9,1278.7,1310.8,1259.4,1276.7,1274.8,1228.2,1261.8,1272.6,1023.3,1340.5,1158.7
1423.1,1304,1267.3,1513.2,1011.1,1272.1,1277.7,1395.5,1485,1346.6,1469.9,1397.7,1407.8,1310.7,1353.5,1507.3,1258.3,1309.2,1181.7,1225.1,1410.2,1407,1388.7,1445.1,1304.4,1352.8,1273.3,1410.9,1225.5,1302.7,1662.5,1154.8,1345.6,1204.3,1297.3,1242.8,1416.8,1448.8,1187.8,1281.2,1382.7,1242.6,1476,1386.2,1211.3,1449.9,1393,1197.1,1234,1427.7,1275.1,1180,1220.5,1255.8,1244,1337.4,1331.7,1415.2,1329.5,1200.8,1286.6,1377.7,1254.5,1298.6,1414.3,1132.3,1248.2,1140.3
